t,gp_get,gp_put,gr_payload,gr_pad,gr_ts_lo,gr_ts_hi,ce_payload,ce_pad,ce_ts_lo,ce_ts_hi,host_payload,host_pad,host_ts_lo,host_ts_hi
2.506477024,111,111,111,0,2492402688,415959688,0,0,0,0,0,0,0,0
2.506495265,111,111,111,0,2492402688,415959688,0,0,0,0,0,0,0,0
2.506511845,111,111,111,0,2492402688,415959688,0,0,0,0,0,0,0,0
2.506528396,111,111,111,0,2492402688,415959688,0,0,0,0,0,0,0,0
2.506549913,111,111,111,0,2492402688,415959688,0,0,0,0,0,0,0,0
2.506566514,111,111,111,0,2492402688,415959688,0,0,0,0,0,0,0,0
2.506583077,111,111,111,0,2492402688,415959688,0,0,0,0,0,0,0,0
2.506599669,111,111,111,0,2492402688,415959688,0,0,0,0,0,0,0,0
2.506616247,111,112,112,0,3215328256,415959688,0,0,0,0,0,0,0,0
2.506632945,112,112,112,0,3215328256,415959688,0,0,0,0,0,0,0,0
2.506649591,112,112,112,0,3215328256,415959688,0,0,0,0,0,0,0,0
2.506666263,112,112,112,0,3215328256,415959688,0,0,0,0,0,0,0,0
2.506682944,112,112,112,0,3215328256,415959688,0,0,0,0,0,0,0,0
2.506699537,112,112,112,0,3215328256,415959688,0,0,0,0,0,0,0,0
2.506716111,112,112,112,0,3215328256,415959688,0,0,0,0,0,0,0,0
2.506732707,112,112,112,0,3215328256,415959688,0,0,0,0,0,0,0,0
2.506749249,112,112,112,0,3215328256,415959688,0,0,0,0,0,0,0,0
